locality,property_type,subtype,price_eur,type_of_sale,num_rooms,living_area_m2,fully_equipped_kitchen,furnished,terrace,terrace_area_m2,garden,garden_area_m2,land_surface_m2,num_facades,swimming_pool,state_of_building
6180 Courcelles,House,Residence,299000,for sale,3.0,269.0,1.0,None,1.0,None,1.0,426.0,260.0,2.0,None,Excellent
5600 Roly,House,Chalet,129000,for sale,2.0,76.0,None,0.0,1.0,None,0.0,None,1462.0,4.0,None,None
1050 Elsene,Apartment,Apartment,850000,for sale,5.0,260.0,None,0.0,0.0,None,0.0,None,None,None,None,Normal
1070 Anderlecht,Apartment,Apartment,139000,for sale,1.0,52.0,None,0.0,1.0,None,0.0,None,None,None,None,None
4100 Seraing,House,Residence,139000,for sale,1.0,150.0,None,None,1.0,None,1.0,None,None,None,None,Normal
7618 Taintignies,House,Villa,350000,for sale,5.0,189.0,1.0,0.0,1.0,55.0,1.0,1824.0,2000.0,4.0,1.0,Normal
1030 Schaarbeek,Apartment,Apartment,349000,for sale,3.0,168.0,1.0,0.0,0.0,None,0.0,None,None,3.0,0.0,Normal
6040 Jumet,House,Residence,133000,for sale,2.0,107.0,1.0,0.0,1.0,8.0,1.0,None,260.0,2.0,None,Normal
9052 Zwijnaarde,Apartment,Apartment,429210,for sale,2.0,100.0,1.0,0.0,1.0,13.0,1.0,None,None,3.0,0.0,New
9300 Aalst,Apartment,Apartment,263350,for sale,1.0,65.0,1.0,0.0,1.0,16.0,1.0,None,None,2.0,0.0,New
3870 Heers,House,Residence,149000,for sale,3.0,100.0,None,None,0.0,None,1.0,None,450.0,None,None,None
6760 Virton,House,Mixed Building,350000,for sale,3.0,220.0,1.0,0.0,0.0,None,0.0,None,173.0,2.0,None,Normal
7070 Le Roeulx,House,Mixed Building,649000,for sale,None,439.0,None,0.0,1.0,None,1.0,None,1052.0,4.0,None,Normal
1701 Itterbeek,House,Residence,619000,for sale,4.0,128.0,None,None,1.0,None,1.0,350.0,745.0,4.0,None,Normal
6200 Châtelineau,House,Residence,199000,for sale,3.0,142.0,1.0,0.0,1.0,21.0,1.0,252.0,380.0,3.0,0.0,Normal
1180 Ukkel,Apartment,Apartment,807500,for sale,3.0,120.0,None,None,1.0,7.0,1.0,None,None,2.0,None,New
1170 Watermaal-Bosvoorde,House,Mixed Building,1450000,for sale,9.0,295.0,1.0,0.0,1.0,10.0,1.0,50.0,None,2.0,0.0,Excellent
1000 Brussels,Apartment,Apartment,399000,for sale,2.0,103.0,1.0,0.0,0.0,None,0.0,None,None,2.0,0.0,Normal
6010 Couillet,House,Master House,350000,for sale,10.0,700.0,None,None,1.0,None,1.0,2000.0,2600.0,4.0,None,To renovate
8531 Bavikhove,House,Residence,1695000,for sale,4.0,260.0,1.0,0.0,1.0,24.0,1.0,1800.0,3454.0,4.0,1.0,Normal
1180 Ukkel,Apartment,Apartment,525000,for sale,3.0,130.0,None,None,1.0,20.0,0.0,None,None,4.0,None,None
8750 Wingene,Apartment,Penthouse,495000,for sale,2.0,152.0,1.0,None,1.0,None,None,None,None,None,None,Excellent
4460 Grâce-Hollogne,Apartment,Apartment,159000,for sale,2.0,60.0,1.0,0.0,0.0,None,0.0,None,None,None,0.0,New
1130 Haren,House,Residence,1100000,for sale,6.0,740.0,1.0,0.0,1.0,45.0,1.0,690330.0,512.0,2.0,0.0,Excellent
7090 Steenkerque,House,Residence,995000,for sale,4.0,320.0,1.0,0.0,1.0,None,1.0,None,1861.0,4.0,1.0,To renovate
6200 Bouffioulx,House,Residence,165000,for sale,2.0,80.0,None,0.0,0.0,None,0.0,None,465.0,None,None,None
5530 Yvoir,House,Residence,265000,for sale,3.0,153.0,1.0,0.0,1.0,82.0,0.0,None,189.0,2.0,1.0,Normal
1050 Elsene,Apartment,Apartment,480000,for sale,2.0,115.0,None,None,1.0,14.0,None,None,None,2.0,None,Normal
4910 Theux,Apartment,Duplex,319000,for sale,3.0,131.0,1.0,0.0,1.0,5.0,0.0,None,None,3.0,0.0,Normal
4601 Argenteau,House,Residence,265000,for sale,3.0,130.0,None,None,1.0,None,1.0,741.0,926.0,3.0,0.0,To renovate
2800 Mechelen,Apartment,Apartment,890000,for sale,2.0,117.0,None,0.0,1.0,22.0,0.0,None,None,4.0,None,Normal
7080 Frameries,House,Residence,160000,for sale,2.0,65.0,1.0,0.0,1.0,10.0,0.0,None,None,2.0,None,Normal
1981 Hofstade,House,Residence,299000,for sale,3.0,168.0,None,0.0,1.0,15.0,1.0,185.0,405.0,None,None,To be renovated
7750 Mont-de-l'Enclus,House,Residence,450000,for sale,4.0,379.0,1.0,0.0,1.0,31.0,1.0,None,1729.0,4.0,0.0,Normal
6900 Hargimont,House,Residence,245000,for sale,3.0,128.0,1.0,0.0,1.0,None,1.0,None,764.0,3.0,0.0,Normal
